message
Invalid pattern '\u{1D306}' at offset 3. Insufficient hexadecimal digits.
"Invalid pattern '(<E[^>]*><S>[Ii] ngach<\/S> <A pl=""n"" gnt=""n"">(?:[Dd]h\x{e1}|[Dd]ara|[Uu]ile|[Mm]\x{ed}le)<\/A><\/E>)' at offset 57. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Invalid pattern '^(?P<station_name>[^_]+)_(?P<channel_nums>0\+1_0|0\+1_1)_(?P<year>\d\d\d\d)(?P<month>\d\d)(?P<day>\d\d)(_|\$)(?P<hour>\d\d)(?P<minute>\d\d)(?P<second>\d\d)_(?P<fraction>\d\d\d)\.wav$' at offset 4. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '^(?P<INTERFACE>\S+):\s+Type:\s(?P<TYPE>.*)\s+Bus:\s+(?P<BUS>.*)$' at offset 4. Unrecognized grouping construct.
Invalid pattern ' => (?P<path>.+)\[\+0x(?P<offset>.\S*)\] \<(?P<pos>.\S+)\>' at offset 7. Unrecognized grouping construct.
Invalid pattern '[\x{A0}\x{2000}-\x{200B}]' at offset 4. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '((\(\(.*?\)\))(?!\))|([' at offset 23. Unterminated [] set.
Invalid pattern '\' at offset 1. Illegal \\ at end of pattern.
Object reference not set to an instance of an object.
"Invalid pattern '({(?P<closing>\/)?(?:(?P<symbol>[\~\#\?\@\:\<\>\+\^\%])\s*)?(?P<refpath>[a-zA-Z0-9_\$\.]+|""[^""]+"")(?:\:(?P<contpath>[a-zA-Z0-9\$\.]+))?(?P<filters>[\|a-z]+)*?(?P<params>(?:\s+\w+\=((""[^""]*?"")|([\w\.]+)))*)?\s*(?P<selfclosing>\/)?\})' at offset 5. Unrecognized grouping construct."
"Invalid pattern '^T(?P<tsign>0|1)
                               (?P<temp>\d\d\d)
                               ((?P<dsign>0|1)
                               (?P<dewpt>\d\d\d))?\s+' at offset 5. Unrecognized grouping construct."
Invalid pattern '^((?u:[0-9])+((?u:[E-Ee-e])(?u:[0-9])+))' at offset 5. Unrecognized grouping construct.
Invalid pattern '^[+-]?[0-9]++$' at offset 13. Nested quantifier '+'.
"Invalid pattern '(?<![<>])(<T>[Aa]n<\/T> <N pl=""n"" gnt=""n"" gnd=""f"">Iam\x{e1}ice<\/N>)(?![<>])' at offset 56. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '^((\x{20}{6,})((\*\x{20}?){5})\s*)$' at offset 6. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern 'hyph_([\w\_]+)\.dic' at offset 11. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(?P<IP>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}):(?P<PublicPort>\d+(-\d+)?)->(?P<PrivatePort>\d+(-\d+)?)\/(?P<Type>\w+)' at offset 3. Unrecognized grouping construct."
Invalid pattern '/\Q$name' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '(?:[abstract]*class |interface )([a-zA-Z\_]+)(?:[ \n]*{| extends| implements)' at offset 42. Unrecognized escape sequence \\_.
"Invalid pattern '^(?P<major>[1-9][0-9]{0,2})\.(?P<minor>(([0-9])|([1-9][0-9]{0,1})))\((?P<mr>(([0-9])|([1-9][0-9]{0,2})))\.(?P<patch>(([0-9])|([1-9][0-9]{0,4})))\)$' at offset 4. Unrecognized grouping construct."
Invalid pattern '^\s*<(?P<type>[a-zA-Z]+)(?:\s+(?P<params>[^>]+))?>(?P<content>.*?)\s*</\1>\s*' at offset 8. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(\x{1094}|\x{1095})' at offset 4. Insufficient hexadecimal digits.
"Invalid pattern '(?<![<>])(<[A-DF-Z][^>]*>g?[Cc]h?\x{fa}ig<\/[A-DF-Z]> (?:<N[^>]*pl=""y""[^>]*>[^<]+<\/N>))(?![<>])' at offset 36. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^(http(s?)://)?(www\.)?(facebook\.com/(.*)\?v=)(?P<id_video>\d+).*$' at offset 50. Unrecognized grouping construct.
"Invalid pattern '
      \Q$fulltag\E
    ' at offset 9. Unrecognized escape sequence \\Q."
Invalid pattern '^\Q$substring' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '(?P<k>[^(&|?)]+)(&|$)' at offset 3. Unrecognized grouping construct.
"Invalid pattern '
    http(s)?://(www\.)?zhanqi.tv
    /(?P<channel>[^/]+)
' at offset 42. Unrecognized grouping construct."
Invalid pattern '[Bb]asic (?P<encoded>\S+)' at offset 12. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^[0-9a-f]{40} refs/remotes/(?P<git_remote_name>[^/]+)/(?P<git_tag>.+)$' at offset 30. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '(?P<start>.?)@(?P<user>[A-Za-z0-9_]+)(?P<end>.?)' at offset 3. Unrecognized grouping construct.
Invalid pattern '^# InnoDB_trx_id: (?P<trxId>[A-F0-9]+) *$' at offset 21. Unrecognized grouping construct.
Invalid pattern ''(?:[^\'\\\n\r]|' at offset 16. Not enough )'s.
"Invalid pattern '^([a-zA-Z0-9\-\.\_\~]|\%[0-9a-fA-F]{2}|[\!\$\&\'\(\)\*\+\,\;\=\@])+$' at offset 18. Unrecognized escape sequence \\_."
"Invalid pattern '([\Q+-&|!(){}[]^""~*?:\\\E])' at offset 4. Unrecognized escape sequence \\Q."
Object reference not set to an instance of an object.
Invalid pattern '(?<width:\s*>)(\d+)(?=px)' at offset 8. Invalid group name: Group names must begin with a word character.
Object reference not set to an instance of an object.
Invalid pattern '\Q$target\E' at offset 2. Unrecognized escape sequence \\Q.
Invalid pattern '^(\p{InCJKUnifiedIdeographs}+)' at offset 28. Unknown property 'InCJKUnifiedIdeographs'.
"Invalid pattern 'computerized assignment from ""(?P<trigger>[^""]+)""' at offset 33. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern '.+\.[\p{Alnum}]+' at offset 14. Unknown property 'Alnum'.
Object reference not set to an instance of an object.
Invalid pattern '\A[\p{katakana}\s]+\z' at offset 15. Unknown property 'katakana'.
Invalid pattern '^(?P<hostnames>[^ 	]+)\s+(?P<num>[0-9]+)\s+(?P<partition>[^ 	]+)\s+(?P<state>[^ 	]+)\s+(?P<cpus>[0-9]+)\s+(?P<S>[0-9]+):(?P<C>[0-9]+):(?P<T>[0-9]+)\s+(?P<memory>[0-9]+)\s+(?P<tmp_disk>[0-9]+)\s+(?P<weight>[0-9]+)\s+(?P<features>[^ ]+)\s+(?P<reason>[^ 	]+)' at offset 4. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(chr\d+)\_(\d+)-(\d+)' at offset 10. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^(?P<index>\d+):\s+(?P<name>\S+)\s+inet6?\s+(?P<ip>[\da-f.:]+)/(?P<mask>\d+)\s+.*' at offset 4. Unrecognized grouping construct.
Invalid pattern '(?<=\s' at offset 6. Not enough )'s.
Invalid pattern '^\s*D/WebViewClassic.loadDataWithBaseURL\(\s*\d+\s*\)\s*:\s*(?P<content>\<.*)\s*$' at offset 63. Unrecognized grouping construct.
Invalid pattern '^\[\!\[(?P<text>[^\]]+)\]\[(?P<badge>[^\]]+)\]\]\[(?P<target>[^\]]+)\]$' at offset 10. Unrecognized grouping construct.
"Invalid pattern 'Test ""(?P<test>[a-zA-Z0-9(){}\[\]:;&_<>\-, =]+)"" is skipped' at offset 9. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern '<(rt-.*?-\d+-\d+)\.(\d+)-\d+-\d+\@\QRT->Config->Get('Organization')\E>$' at offset 36. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '\A/page/(' at offset 9. Not enough )'s.
Object reference not set to an instance of an object.
Invalid pattern '<$td>$s\Q¾ÜºÙ\E$s<\/$td>$s<$td><$table>$s<$tr>$s<$td>($str)<\/$td>$s<\/$tr>$s<\/$table>$s<\/$td>' at offset 9. Unrecognized escape sequence \\Q.
"Invalid pattern '[V]([.]|\w)([.]|\w)([.]|\w)([.]|\w)([.]|\w)\s(?P<format>\w{3,20})\s' at offset 48. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern '/CPAN/(?:source/)?(.*\Q$archive\E)' at offset 23. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '(?U)(^|\\\\|[^\\\*])\*(.*[^\\])\*' at offset 3. Unrecognized grouping construct.
Invalid pattern '$case_re\Q$text_forbid\E' at offset 10. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '((\w+):(\w+\pL.))+\s?' at offset 14. Malformed \\p{X} character escape.
Object reference not set to an instance of an object.
Invalid pattern '^([^' at offset 4. Unterminated [] set.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?<![<>])(<S>[Tt]r\x{ed}<\/S> (?:<P[^>]*>[Ii]ad<\/P>))(?![<>])' at offset 21. Insufficient hexadecimal digits.
Invalid pattern '\[img=([^\[\]].*?)\.(' at offset 21. Not enough )'s.
"Invalid pattern 'comment><comment>       Function => [""<font color=\""#007f00\"">"", ""<' at offset 67. Unterminated [] set."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(*UTF8)[^\p{L}]' at offset 2. Quantifier {x,y} following nothing."
Object reference not set to an instance of an object.
Invalid pattern '^<ul[^>]*>(.*?(?R)?.*?)<\/ul>' at offset 17. Unrecognized grouping construct.
Object reference not set to an instance of an object.
"Invalid pattern '^[a-z0-9\-\.\_\~\:\/\?\#\[\]\@\!\$\&'\(\)\*\+\,\;\=\%]+$' at offset 14. Unrecognized escape sequence \\_."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^\Q$_[1]\E(?:/|$)' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern 'JisonLexerError:[^]*?Unrecognized text\.' at offset 40. Unterminated [] set.
Invalid pattern '^\\([\\w \\._\\+\\-@]+\\)' at offset 20. [x-y] range in reverse order.
Invalid pattern '^\t\Q$arg\E\s*=\s*(boolSV\(|(&PL_sv_yes|&PL_sv_no|&PL_sv_undef)\s*;)' at offset 5. Unrecognized escape sequence \\Q.
"Invalid pattern '^(?P<unit>A|Q|QNH)?
                           (?P<press>[\dO]{3,4}|////)
                           (?P<unit2>INS)?\s+' at offset 4. Unrecognized grouping construct."
Object reference not set to an instance of an object.
"Invalid pattern '?(?|?|?|?)' at offset 1. Quantifier {x,y} following nothing."
Object reference not set to an instance of an object.
Invalid pattern '(?P<data>.+)' at offset 3. Unrecognized grouping construct.
Invalid pattern '(?:\.\.\/)*(?:' at offset 14. Not enough )'s.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^\p{Alpha}{3}' at offset 10. Unknown property 'Alpha'.
Object reference not set to an instance of an object.
"Invalid pattern '(?x:
	\!							# Images start with !
	(?<_1>\[)(?<_2>(?<square>[^\[\]\\]|\\.|\[\g<square>*+\])*+)(?<_3>\])	
	# Match the link text.
	(?<_4>[ ])?						# Space not allowed
	(?<_5>\()						# Opening paren for url
	(?<_6><?)(?<_7>\S+?)(?<_8>>?)			# The url
	[ \t]*					# Optional whitespace
	(?:
	  (?<_9>(?<_10>\().+?(?<_11>\)))		# Match title in parens…
	| (?<_12>(?<_13>"").+?(?<_14>""))		# or in quotes.
	)?						# Title is optional
	\s*						# Optional whitespace
	(?<_15>\))
	 )' at offset 81. Unrecognized escape sequence \\g."
Invalid pattern '^Seat (?P<seat>\d+): (?P<name>.+?) \(\$?(?P<stack>\d+(\.\d+)?) in chips\)' at offset 9. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?P<nature2> (constitutionnelle|organique))' at offset 3. Unrecognized grouping construct.
Object reference not set to an instance of an object.
"Invalid pattern 'script\_cve\_id\(\""([^\)]*)\""\)' at offset 8. Unrecognized escape sequence \\_."
Object reference not set to an instance of an object.
Invalid pattern '(?P<cuda>cuda\d+\.\d+)\.(?P<mofed>mofed\d+\.\d+)\.(?P<compiler>(gnu\d+\.\d+\.\d+)|(pgi\d+\.\d+))' at offset 3. Unrecognized grouping construct.
Invalid pattern 'NET 2003[\/\]VC7' at offset 16. Unterminated [] set.
Object reference not set to an instance of an object.
Invalid pattern '\Q$HIGHLIGHT_STYLE\E' at offset 2. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '^\s*+(-)\s*+(record)\s*+(\()\s*+([a-z][a-zA-Z\d@_]*+)\s*+(,)' at offset 5. Nested quantifier '+'."
Invalid pattern '[\x{0430}-\x{04FF}]' at offset 4. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Invalid pattern '([\x{10000}-\x{10ffff}])' at offset 5. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\\([0-7]{3}|x\h\h|u\h\h\h\h)' at offset 15. Unrecognized escape sequence \\h.
Object reference not set to an instance of an object.
Invalid pattern '<$td>$s\Q¥¿¥¤¥È¥ë\E$s<\/$td>$s<$td>$s($str)<\/$td>' at offset 9. Unrecognized escape sequence \\Q.
Invalid pattern '^(?P<KEY>([^=]*))=(.*)$' at offset 4. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(delete|select)\s.*from\s+\Q$word\E$' at offset 28. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '<(?>(?!(?:' at offset 10. Not enough )'s.
Object reference not set to an instance of an object.
Invalid pattern '\A\.\/lib\/([\w\_\-\/]+\.rb)\Z' at offset 17. Unrecognized escape sequence \\_.
Invalid pattern '\A%(?P<magic>.+?)(?P<code>\s+.*)?\Z' at offset 6. Unrecognized grouping construct.
Object reference not set to an instance of an object.
"Invalid pattern '(?<![<>])(<S>[Nn]\x{e1}<\/S> <T>[Aa]n<\/T> <N pl=""n"" gnt=""n"" gnd=""m"">[aeiouAEIOU\x{e1}\x{e9}\x{ed}\x{f3}\x{fa}\x{c1}\x{c9}\x{cd}\x{d3}\x{da}][^<]*<\/N>)(?![<>])' at offset 20. Insufficient hexadecimal digits."
Invalid pattern '^(?P<H>\d{2}):?(?P<M>\d{2}):?(?P<S>\d{2})(?P<MS>|[.]\d+)(?P<TZ>|Z|(?P<TZH>[+-]\d{2}):?(?P<TZM>\d{2}))$' at offset 4. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '(?P<remote_url>(?:.*?)(?:/|:))*(?P<team_name>[^/]+)/(?P<project_name>[^/]+?)(?:\.git)?$' at offset 3. Unrecognized grouping construct.
"Invalid pattern '""qtk=(?P<qtk>\S+)"";' at offset 8. Unrecognized grouping construct."
Invalid pattern '(?<![<>])(<D>[Tt]r\x{ed}n\x{e1}r<\/D> <[A-DF-Z][^>]*>(?:[aeiouAEIOU\x{e1}\x{e9}\x{ed}\x{f3}\x{fa}\x{c1}\x{c9}\x{cd}\x{d3}\x{da}cfptCFPT]|[Dd][^Tt']|[Gg][^Cc]|[Bb][^Pph]|[Bb]h[^fF])[^<]*<\/[A-DF-Z]>)(?![<>])' at offset 21. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
"Invalid pattern '(<E[^>]*><R>[Nn]\x{ed}(?: ?ba|b)<\/R> <A pl=""n"" gnt=""y"" gnd=""f"">[^<]+<\/A><\/E>)' at offset 19. Insufficient hexadecimal digits."
Invalid pattern '[]*1' at offset 4. Unterminated [] set.
Object reference not set to an instance of an object.
Invalid pattern '^\Q$pat\E' at offset 3. Unrecognized escape sequence \\Q.
Invalid pattern '[a-zA-Z\-\_\/]' at offset 11. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '([[:digit:]]+)\pP+(?=[[:digit:]])' at offset 17. Malformed \\p{X} character escape.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(?<![<>])(<A pl=""n"" gnt=""n"">[Ss]h?\x{e9}<\/A> <N pl=""n"" gnt=""n"" gnd=""f"">[Ss]cilling<\/N>)(?![<>])' at offset 37. Insufficient hexadecimal digits."
Invalid pattern '((?P<hostname>[\w\.\-]+))' at offset 4. Unrecognized grouping construct.
Invalid pattern '^<(?P<tag_name>\w+)' at offset 5. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(?x)https?://(?:www\.)?filmon\.(?:tv|com)/(?:
        (?:
            index/popout\?
            |
            (?:tv/)channel/(?:export\?)?
            |
            tv/(?!channel)
            |
            channel/
            |
            (?P<is_group>group/)
        )(?:channel_id=)?(?P<channel>[-_\w]+)
    |
        vod/view/(?P<vod_id>\d+)-
    )' at offset 245. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern '()<B><Z>(?:<[^>]+>)+<\/Z>(D\x{e9})<\/B>()' at offset 30. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?P<name>\w+)\b' at offset 3. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^(?P<bundle>[^:]+):(?P<directory>[^:]*:)?(?P<file>.+)$' at offset 4. Unrecognized grouping construct.
Invalid pattern '\B@([\w\x{4e00}-\x{9aff}]+)(\s*)(\( ( (?>[^()]+) | (?3) )* \) )? ' at offset 10. Insufficient hexadecimal digits.
Invalid pattern ' $reg{$e}->{$t}->[$p-1] $' at offset 22. [x-y] range in reverse order.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '.*\s+(?P<packets_output>\d+) packets output.*\s+(?P<bytes_output>\d+) bytes.*' at offset 8. Unrecognized grouping construct.
Invalid pattern '_\Q$value\E$' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?-u)[\xFF]' at offset 4. Unrecognized grouping construct.
Invalid pattern '\x{200B}' at offset 3. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '^(?P<residence>\d{10})(?P<origin>\w{1,3})[-\ ]?(?P<birthday>\d{7})[-\ ]?(?P<validity>\d{7})[-\ ]?(?P<checksum>\d{1})$' at offset 4. Unrecognized grouping construct."
"Invalid pattern '^(?P<vis>(?P<dist>(M|P)?\d\d\d\d|////)
                                        (?P<dir>[NSEW][EW]? | NDV)? |
                                        (?P<distu>(M|P)?(\d+|\d\d?/\d\d?|\d+\s+\d/\d))
                                        (?P<units>SM|KM|M|U) |
                                        CAVOK )\s+' at offset 4. Unrecognized grouping construct."
"Invalid pattern '# noqa(?:: (?P<codes>([A-Z][0-9]+(?:[,\s]+)?)+))?' at offset 14. Unrecognized grouping construct."
Invalid pattern '(?i)^((?P<scheme>http[s]?)://)?(?P<host>[0-9a-z-_.]+)(:(?P<port>\d+))?(?P<path>(/)?(wsman)?)?' at offset 9. Unrecognized grouping construct.
Object reference not set to an instance of an object.
"Invalid pattern '[A-Z]?[a-z]+|[A-Z]+|[-+\d]+|[!""' at offset 31. Unterminated [] set."
Invalid pattern '^create_(' at offset 9. Not enough )'s.
Object reference not set to an instance of an object.
Invalid pattern '^(?:on update)\s([\_\-\s\w\d]+)' at offset 20. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern 'code); }
    method is_error    () { HTTP::Status::is_error    (.' at offset 5. Too many )'s."
Invalid pattern '^get([\p{Upper}]{1}.*)$|^is([\p{Upper}]{1}.*)$' at offset 15. Unknown property 'Upper'.
Invalid pattern '\Q$method\E' at offset 2. Unrecognized escape sequence \\Q.
"Invalid pattern '^(?P<name>(?:""?([^""]*)""?\s)?)(?:\s+)?(?:(?P<open><?)((?P<local>.+)@(?P<domain>[^>]+))(?P<close>>?))$' at offset 4. Unrecognized grouping construct."
Invalid pattern 'https?:\/\/youtu.be\/(?P<id>[\w-]+)(?P<timestamp>\?t=\d*m?\d*s?)?' at offset 24. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\__END__(\n|$)' at offset 2. Unrecognized escape sequence \\_.
Invalid pattern '.*/(?P<basefile>[LVHSF\-]+FS_ ?\d{4}[_\-]\d+)\.pdf$' at offset 6. Unrecognized grouping construct.
Invalid pattern '([^\pL\pN]|^)(\pL|\pN)' at offset 6. Malformed \\p{X} character escape.
"Invalid pattern '^U(\h{,8})$' at offset 5. Unrecognized escape sequence \\h."
Invalid pattern '%VAR_(' at offset 6. Not enough )'s.
Invalid pattern 'datatype><normal> = [] };<' at offset 26. Unterminated [] set.
"Invalid pattern '(?<![<>])(<A pl=""n"" gnt=""n"">(?:[Dd]h\x{e1}|[Tt]h?r\x{ed}|[Cc]h?eithre|[Cc]h?\x{fa}ig|[Ss]h?\x{e9}|[Ss]h?eacht|[Oo]cht|[Nn]aoi)<\/A> (?:<N[^>]*pl=""n""[^>]*>[^<]+<\/N>) <N pl=""n"" gnt=""n"">[Dd]h?\x{e9}ag<\/N> (?:<A[^>]*pl=""n""[^>]*>[^<]+<\/A>))(?![<>])' at offset 39. Insufficient hexadecimal digits."
Invalid pattern '\s*python\s*module\s*(?P<name>[\w_]*?__user__[\w_]*)' at offset 24. Unrecognized grouping construct.
Invalid pattern '\Q$subprefix\E' at offset 2. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '^L\(\p{Space}*\p{Alnum}+\p{Space}*\)$' at offset 13. Unknown property 'Space'.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^\Q$srchval\E$' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\\u\h{4}' at offset 5. Unrecognized escape sequence \\h.
Object reference not set to an instance of an object.
Invalid pattern '(?:repeats\s+)?(?:(?:each|every|all)\s+)3r?d?\s+month(?:s|ly)?\s+(?:on\s+)?(?:the\s+)?((?:' at offset 90. Not enough )'s.
Invalid pattern '(\bAS\b\s*)`([^`]++)`(\s*)$' at offset 19. Nested quantifier '+'.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '([a-z][a-zA-Z\d@_]*+)\s*+(,)?' at offset 20. Nested quantifier '+'."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
